sqft,bedrooms,price
1860,4,352363
2294,4,380332
2130,2,347760
2095,4,382536
2638,4,425915
3169,3,467870
1466,2,267636
2238,3,367680
1330,3,292689
2482,3,381961
3135,3,468000
1130,3,275265
2685,3,418078
1769,3,305057
3391,2,472368
2515,4,410688
3433,3,492977
2215,3,373861
1955,3,332702
3324,3,468961
2184,3,361894
1459,3,281244
1021,4,263604
3300,4,488865
1747,3,346035
1474,4,297149
2082,2,330379
3047,3,453939
1975,2,336227
2806,2,433472
1189,3,280129
1562,4,324437
2899,2,422830
2267,3,380666
2528,2,376696
1646,2,291438
3068,2,421975
3214,2,449111
2297,4,399326
3435,2,471403
1600,2,282259
3363,2,462702
3061,4,473340
1241,2,251542
3041,2,442599
2363,4,383186
3139,4,465196
